Company,Question,Date
Data Analyst at People Prime Worldwide was asked...,"skills python,vba development etc",22-Dec-19
Data Analyst at Indus Insights was asked...,1)how many bedsheets are sold in 1 year in india 2)expected daily revenue of bigbazar,29-Sep-16
Data Analyst at People Prime Worldwide was asked...,"skills python,vba development etc",22-Dec-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,What is analytics?,27-Oct-19
Data Analyst at Indus Insights was asked...,1)how many bedsheets are sold in 1 year in india 2)expected daily revenue of bigbazar,29-Sep-16
Senior Healthcare Data Analyst at SCIO Health Analytics was asked...,"Methods for cleansing data. (SAS character functions) Querying using SQL. (Summary report, complex joins, data merge) Transpose. Advanced SAS Macros. Puzzles to test your ability to think logically.",20-Apr-17
Data Analyst at QuEST Global was asked...,"Spark Based Question. Spark starting point, Spark scenario-based questions",19-Aug-19
Data Analyst at Stemmons was asked...,strengths and weakness,2-Feb-19
Data Analyst at Impetus Technologies was asked...,"Current role and responsibilities, technical regarding the domain",13-Mar-18
Data Analyst at ExxonMobil was asked...,What was the most difficult situation that you've faced in college and how you dealt with it?,8-Jan-19
Data Analyst at Decision Resources Group was asked...,Case study,4-May-18
Data Analyst at EXL Service was asked...,"Why Data Analytics, Why EXL, Why I don't want to get into Civil Engg. (Since I was a b.tech from IITR in Civil) . Common Interview puzzles.",1-Dec-16
Data Analyst at EXL Service was asked...,Was asked about semaphore in operating system,27-Sep-15
Data Analyst at Decision Resources Group was asked...,Case study,4-May-18
Data Analyst at Wittyfeed was asked...,"what is relation between vasana, witttyfeed and viral9",22-Nov-17
Senior Data Analyst at Prometric was asked...,Why did you left your previous company,20-Jul-17
Senior Data Analyst at Prometric was asked...,Tell me about yourself,20-Jul-17
Data Analyst at Toluna was asked...,"Questions are mainly asked about from what you've mentioned in your resume. I've been asked around three questions, one of which was to input a time from user (IST) and convert it into Sydney time zone. Another question was to print diamond and the last one was to print fibbonaci series. Earlier I was asked to speak about one topic which they gave it to me. They were mainly checking the confidence.",13-Jul-16
Data Analyst at BizKonnect Solutions was asked...,Tell me about yourself,22-Jan-18
Data Analyst at Multiplier Solutions was asked...,About achievements in life,14-Feb-18
Data Analyst at IonIdea was asked...,what is tabules,6-Dec-19
Data Analyst at Multiplier Solutions was asked...,Write a SQL query using left join.,2-Sep-19
Data Analyst at BizKonnect Solutions was asked...,Tell me about yourself,22-Jan-18
Data Analyst at Mu Sigma was asked...,Principles of Decision Sciences,6-Jul-15
Data Analyst at Cogencis Information Services was asked...,Basic rules of accounts?,18-Jan-17
Data Analyst at Mu Sigma was asked...,Write bubble sort in efficient manner thus to reduce the no. Of iterations...?,4-Aug-18
Junior Data Analyst at Shore Group Associates was asked...,"Capital Budgeting, Working Capital",30-Jan-19
Data Analyst Trainee at Mu Sigma was asked...,basic questions like why musigma? what if we dont hire u..... and some case study,8-Oct-16
Data Analyst at Cogencis Information Services was asked...,"Tell me about yourself? Vertical format of balance sheet? What is credit ratings? Who is collector of all banks? What is intangible asset and example of it? What is depreciation? Shortcut key in excel sheet for save,save as,undo,redo,copy,paste.",12-May-17
Data Analyst Consultant at Gramener was asked...,Mostly about your profile and past experiences at work.,26-Feb-18
Lead/Data Analyst Manager at Gramener was asked...,Explain how decision tree nodes are created,17-Jan-19
Lead/Data Analyst Manager at Gramener was asked...,What is the difference between adjusted Rsqr and normal Rsqr,17-Jan-19
Lead/Data Analyst Manager at Gramener was asked...,how do you say that your data is normally distributed,17-Jan-19
Lead/Data Analyst Manager at Gramener was asked...,2 columns are available in the data i.e. designation and salary. What test would be performed on this data to know if the salary is different for all the designations or not,17-Jan-19
Data Analyst at BRIDGEi2i was asked...,"Questions from SQL,C and C++.Its and added advantage if you know R and Python Programming.",27-Sep-17
Data Analyst at BRIDGEi2i was asked...,Questions based on my final yr UG project,4-Jun-18
Data Analyst at BRIDGEi2i was asked...,How is Deep Learning different and new as compared to normal Machine Learning and Statistical methods,5-Sep-18
Data Analyst at BRIDGEi2i was asked...,What do you look for in a company ?,11-Sep-18
Data Analyst at eClinicalWorks was asked...,Sql queries and Networking knowledge,24-Nov-19
Marketing Data Analyst at Oracle was asked...,about education and skills,10-Jan-20
Data Analyst at Tata Consultancy Services was asked...,Explain about your project,2-Nov-17
Data Analyst at LatentView Analytics was asked...,"Depends on your group.,mostly from your core subjects which even the interviewer dont know but gets it by browsing",3-Oct-16
Data Analyst at LatentView Analytics was asked...,Questioned about what I mentioned as my strong area,22-Jan-17
Business Data Analyst at Tata Consultancy Services was asked...,About my Career in other company and why did i left that company,13-Sep-15
Data Analyst at LatentView Analytics was asked...,Why data analytics?,19-Jul-17
Data Analyst at LatentView Analytics was asked...,"How do you split an equilateral triangle into three equal parts, such that each part isn't a triangle?",23-Apr-15
Data Analyst at Genpact was asked...,What is an interest in a data frame,31-May-19
Data Analyst at LatentView Analytics was asked...,a situation is given and told to analyse it,22-Jan-20
Data Analyst at LatentView Analytics was asked...,"what is data analytics ,how do you use it in your day to day life and how is it use full in your domain",22-Jan-20
Data Analyst at Times Internet was asked...,"Qualification history, project history related questions.",13-May-18
Software Engineer/Data Analyst at BrowserStack was asked...,"Algorithms, LR, Puzzles",30-Mar-17
Data Analyst at Amdocs was asked...,Tell me about yourself,15-Oct-19
Data Analyst at Axis Bank was asked...,Past experience and work details. A few questions on SQL and queries. Knowledge on various taxes.,8-Mar-16
Data Analyst at Axis Bank was asked...,What is correlation?,1-Oct-16
Data Analyst at LNT Group was asked...,"Tell me about yourself? Family? Why u chooses this group? Basic programs, my SQL, c++ concepts, html",28-Sep-19
Data Analyst at Matrix Corporate Management Services was asked...,To explain about the interview process,7-Jun-20
Junior Data Analyst at Cognizant Technology Solutions was asked...,gud and bad xperiences of my lyf..,17-Nov-12
Data Analyst at Cognizant Technology Solutions was asked...,What is missed dose,8-May-17
Data Analyst at Snapdeal was asked...,Behavioral questions: E.g: What was the moment when you felt like you have nailed-it.,25-Aug-12
Junior Data Analyst/Data Analyst/Pharmacovigilance at Cognizant Technology Solutions was asked...,"profile demanded experienced people, but if they are not maharashtra resident they didnt even take interview, and local resident they even took freshers!",20-Jun-13
Data Analyst at Wipro was asked...,suppose you're a data analyst and you've to analyse the set up of pharmaceutical company. Tell us what work will you do as data analyst.,23-Jun-18
Data Analyst at Aon was asked...,"Statistics - Mean,Median,Mode.",11-Feb-19
Data Analyst at Morningstar was asked...,Previous Job exposure. What are the various financial statements? Details of the financial statements IFRS Gaap knowledge.,11-Sep-16
Data Analyst at Morningstar was asked...,"Income statement, Balance Sheet, cash flow statement, depreciation, Ratios,stock market.",11-Jun-17
Data Analyst at Innoplexus was asked...,About Namenode and Master node,29-Dec-15
Data Analyst at Josh Talks was asked...,Easy questions related to the gathering of data.,12-Jan-19
Associate Data Analyst at Novo Nordisk was asked...,Why Pharma? Previous projects and how pharma industry works.,9-Nov-17
Data Analyst at Ola was asked...,1. Using Left Join maximum number of rows you can obtain if there are two tables A: which has 5 rows and B: which has 10 rows. 2. Number of ola cabs travelling to and fro from delhi airport to city. Guesstimate,16-Mar-18
Data Analyst at Deloitte was asked...,1 .questions related to project and generally not that much technical questions were raised but the logical thinking is more important for the riddles 2. Given a water bottle find the number of water drops int it?,1-Aug-19
Data Analyst at FactSet was asked...,they ask one que on stack,25-Aug-15
Data Analyst at Postman was asked...,"Statistics, Aptitude (questions only from probability, permutations & combinations and Data interpretation and SQL",14-Jun-20
Data Analyst at ZS Associates was asked...,How many petrol pumps are there in Delhi?,31-Dec-19
Data Analyst at Innoplexus was asked...,About Namenode and Master node,29-Dec-15
Research Data Analyst at Boston Consulting Group was asked...,Tell me about yourself? (And based on what you answer they will ask more questions.),19-Sep-17
Data Analyst at Morningstar was asked...,"Income statement, Balance Sheet, cash flow statement, depreciation, Ratios,stock market.",11-Jun-17
Data Analyst at Morningstar was asked...,Previous Job exposure. What are the various financial statements? Details of the financial statements IFRS Gaap knowledge.,11-Sep-16
Data Analyst at ninjacart was asked...,Q: Tell us about yourself,25-Jul-19
Data Analyst at Hotstar was asked...,Describe the funnel for acquisition of subscribers.,30-Jan-20
Data Analyst at Josh Talks was asked...,Easy questions related to the gathering of data.,12-Jan-19
Data Analyst at TheMathCompany was asked...,Quesstimate on no. Of petrol cars in Delhi Case study on opening a retail store Probability question,20-Jan-20
Data Analyst at Deloitte was asked...,Versant test and technical round with the final round with the Manager. It was easy once you clear the two rounds.Versant test and technical round with the final round with the Manager. It was easy once you clear the two rounds.,27-Feb-18
Data Analyst at Infosys was asked...,latest trends in IT field? why infosys?,14-Oct-17
Data Analyst at HCL was asked...,What are your skills and how will you apply them to this project?,21-Sep-18
Associate Data Analyst at Novo Nordisk was asked...,Why Pharma? Previous projects and how pharma industry works.,9-Nov-17
Data Analyst at Ola was asked...,1. Using Left Join maximum number of rows you can obtain if there are two tables A: which has 5 rows and B: which has 10 rows. 2. Number of ola cabs travelling to and fro from delhi airport to city. Guesstimate,16-Mar-18
Research Data Analyst at Morningstar was asked...,"basic fundamental question 1. P/e ratio, gaap and non gaap , difference between depreciation and amortization , corporate actiion question like spin off, spilt off",6-May-18
Data Analyst at Shell was asked...,About projects,20-Jun-18
Data Analyst at ninjacart was asked...,tell me about yourself some questions on sql,19-Sep-19
Data Analyst at Iris Software was asked...,Why did you join us,22-Oct-19
Data Analyst at Tredence was asked...,Monthly purchase of cigarette in India.,11-Dec-16
Senior Data Analyst at Tredence was asked...,they asked me about what ever i mentioned in CV,17-Feb-18
Data Analyst at Chegg was asked...,"Advance excel, advance SQL, lil VBA scripting",20-Jan-16
"Associate I, Data Analyst at KPMG was asked...",What makes you want to change your field from Mechanical Engineering to Data Analytics,14-Nov-18
Data Analyst at Technosoft Corporation was asked...,Q:tell me about yourself,3-Feb-16
Data Analyst at Deloitte was asked...,1 .questions related to project and generally not that much technical questions were raised but the logical thinking is more important for the riddles 2. Given a water bottle find the number of water drops int it?,1-Aug-19
Data Analyst at FactSet was asked...,they ask one que on stack,25-Aug-15
Data Analyst at Capital One was asked...,How will you automate 200 reports being generated from various source systems based on various timings thorughout the day and deliver the report on time. Derive a business plan how will you plan the approach and the strategy given any technology in the market.,12-Oct-15
Senior Data Analyst at Innovaccer was asked...,What is difference b/w Primary and Foreign Key?,1-Oct-19
Senior Data Analyst at Innovaccer was asked...,Difference b/w list and tuples in Python ?,1-Oct-19
Data Analyst at Capital One was asked...,Why do you want to join Capital one?,17-Aug-13
Market Data Analyst at Bloomberg L.P. was asked...,What motivated you to _____ questions?,25-Aug-17
Data Analyst at Fiserv was asked...,where do you see youself in 5 years.,9-Jul-19
Data Analyst Interview at athenahealth was asked...,they asked me how to handle tasks,3-Nov-15
Data Analyst at GlobalLogic was asked...,How to buy air conditioning system?,12-Sep-15
Data Analyst at GlobalLogic was asked...,"tell me something about yourself,why global logic,why analyst rather than programmer ,what is analysis,what is an AI,where do you see yourself 5 years from now.",7-Jul-16
Associate Data Analyst at GlobalLogic was asked...,All short of common questions.,20-Nov-18
Market Data Analyst at Bloomberg L.P. was asked...,What motivated you to _____ questions?,25-Aug-17
Data Analyst at Fiserv was asked...,where do you see youself in 5 years.,9-Jul-19
Data Analyst at Collabera was asked...,Tell me the wisest decision you ever took in your life?,17-Sep-19
Data Analyst at Collabera was asked...,why are you going to switch from mechanical to networking?,17-Sep-19
Data Analyst at Capital One was asked...,Why do you want to join Capital one?,17-Aug-13
Senior Data Analyst at Honeywell was asked...,Mostly on statistics.Questions were asked based on the past experience. Supply chain oriented questions as well.On the whole good experience,10-Sep-18
Data Analyst at GlobalLogic was asked...,How to buy air conditioning system?,12-Sep-15
Data Analyst Interview at athenahealth was asked...,they asked me how to handle tasks,3-Nov-15
Senior Data Analyst at Synchrony was asked...,R basics and how good are you at sql?,16-Mar-19
Data Analyst at EY was asked...,Tell me about yourself. Why EY?,12-Jun-16
Data Analyst at Citi was asked...,Normal Forms up to BCNF,18-Sep-19
Data Analyst at DXC Technology was asked...,"questions on AWS,cloud computing",24-Dec-18
Data Analyst at Thomson Reuters was asked...,Tell me about yourself,9-Jun-16
Data Analyst at AstraZeneca was asked...,1) What is the toughest decision that you made in your life? 2) Your greatest failure? 3) Have you ever lead a group? What did you learn from that?,3-Oct-18
Data Analyst at EY was asked...,HTML,6-Mar-19
Data Analyst at Dun & Bradstreet was asked...,Have you studied Data analytics before?,12-Jan-20
Data Analyst/Consultant at Lennox was asked...,"Tell me about yourself, education, work experience and future plans",10-Jun-18
Data Analyst at Publicis Sapient was asked...,How many golf ball can we put in an empty bus?,6-Nov-18
Data Analyst at Amazon was asked...,Questions on some standard programming questions.,17-Sep-18
Data Analyst at Amazon was asked...,Normal aps,20-Aug-19
Data Analyst at IQVIA was asked...,India's total area,24-Jul-18
Data Analyst at Facebook was asked...,"SQL query to find the nth highest salary Questions related to vlookup, Iferror, offset",25-Apr-16
Research Data Analyst at Evalueserve was asked...,They asked questions from control system and communication. like what is the use of pid controller.,12-Sep-17
Data Analyst at InSync Analytics was asked...,Where do you live?,10-Oct-15
Data Analyst at Tiger Analytics was asked...,coding test: Finding out prime number from given sequence,1-Nov-19
Data Analyst at Tiger Analytics was asked...,"Basic programming questions Strings,array programming questions",25-Apr-19
Data Analyst at Fractal was asked...,All questions were related to my resume,19-Feb-20
Associate Data Analyst at Salesforce was asked...,Why do you want to join Salesforce and why this team?,3-Apr-20
Data Analyst at Capgemini was asked...,Basic programming questions which you have specified in your resume.,19-Mar-19
Data Analyst at Société Générale was asked...,Nothing related to ML/AI and not even the projects. Some things related to stuffs I never knew about. And they didnt even mention these in job description when they came for campus placement.,4-Mar-20
Data Analyst at Capgemini was asked...,The interviewer also asked about my hobbies and achievements.,14-Jul-20
Data Analyst at ELXSI was asked...,Difference between Call by Ref and call by value,6-Feb-13
Data Analyst at eClerx was asked...,all easy questions,15-Nov-13
Data Analyst at Wunderman was asked...,convincing the interviewer for all the desired skill sets and stability.,6-Oct-14
Data Analyst at Crystal Solutions was asked...,Tell me about yourself?,7-Jul-15
Senior Data Analyst at Akosha was asked...,Why do you want to join a startup?,18-Sep-15
Data Analyst at Rudder Analytics was asked...,"In aptitude test , u need to focus on all imp topics like work and time, speed time distance, averages, some questions were based on downstream upstream etc I don't remember the exact count of questions, but it must be 20 questions and to clear test u need to get 60% ans correct. that means u need to solve 12 questions correctly. After that we had coding round, in that 2 coding questions were given and u can use any coding language. .1st prog if we give input 21 then output should be 15 as 15+1+5=21.So for a given input number we need find all such numbers whose sum including itself and the sum of it's digit is equal… 2nd prog was to find frequency of element in an given array(quite easy). even if u solve one complete (correct) program and other is partial then u will be shortlisted for next round(HR+Technical) HR and technical combined interview, They interviewed me for almost 1 hr . questions based on sql i.e diff between union and union all , what is dbms, why we use it, query was like find top 5th person who has highest salary, thay asked me 2 puzzles , one puzzle was based on water cans, like u have 5ltr , 3 ltr and 8 ltr can how will you measure 4ltr without using extra can, I don't remember another puzzle. Then they told me if my speed while going home is 10kmph and speed while coming office is 5 kmph what will b your avg speed? i knew formula and i solved it but they asked me to derive that formula, I tried lot but I couldn't reach till end . Then they asked me do u play chess ( it was mentioned in my resume in hobbies column ) I said yes , and they ask me how many squares are there in the chess board I answered 64 but they told me to count total squares present on the chess board like we have large square which is outer main boundary square like that how many squares are present ? and then they told about their company i.e. they don't have lady members , they don't have transport facility ... bla bla bla....",15-Jun-18
Data Analyst at eClerx was asked...,Tell me about yourself,21-Jul-18
Data Analyst at eClerx was asked...,tell me about yourself,20-Oct-18
Big Data Analyst at Cogneau was asked...,Number of palindromic substrings in a given string,26-Sep-18
Data Analyst at Sandcube Analytics was asked...,"easy quant, verbal. just a communication interview. but don't join the company",23-Oct-18
Research Data Analyst at S&P Global Market Intelligence was asked...,Academic Questions,20-Mar-19
Data Analyst at Ftcash was asked...,Tell me about yourself,8-Jan-19
Data Analyst at Sandcube Analytics was asked...,tell me about your self?,26-Jan-19
Research Data Analyst at S&P Global Market Intelligence was asked...,Mostly on your CV,20-Jan-19
Data Analyst at Flipkart was asked...,"Some small tasks which includes using VLOOKUP, SUMIFS, COUNTIFS, INDEX MATCH, IFERROR Functions. Basic questions in R like what are the pakages used in R. SQL queries based on business requirement. Using JOINS, Identity properties, all analytical functions, etc....",10-Apr-19
Data Analyst at Everest Consulting Group was asked...,in case round i was asked to determine the market size of the tyre industry in india.,21-Jan-19
Financial Data Analyst at William O'Neil & Co was asked...,Most of the questions being asked was on capital markets and financial statements.,12-Jun-19
Data Analyst at Kotak Mahindra was asked...,"Basic SQL based questions- Joins, unions Writing SQL queries based on questions asked Basic R questions, libraries like dplyr,tidyr Small usecase related to banking",23-Jul-19
Data Analyst at Indegene was asked...,Name 5 statistical tests that you have used to most.,5-Nov-19
Data Analyst at Sandcube Analytics was asked...,Tell me about yourself,15-Feb-20
Data Analyst at ELXSI was asked...,Difference between Call by Ref and call by value,6-Feb-13
Financial Data Analyst at CMC was asked...,"Nothing difficult question were asked,was a easy process like Tell me about ur self,finance related and some interpersonal skills related like how u can solve a problem?",9-Apr-14
Data Analyst at Axtria was asked...,normal hr questions,3-Oct-14
Data Analyst at Coalition Development was asked...,Logical Reasoning Questions and test your English by asking questions related to grammar (not very difficult).Very Basic logical questions easy to answer. Cet type of questions. 2nd round - Passage were given and questions related to passage were asked.Not at all difficult. Answer breifly. Answer in atleast 2 sentences.,27-Oct-14
Data Analyst at Wunderman was asked...,convincing the interviewer for all the desired skill sets and stability.,6-Oct-14
Data Analyst at Crystal Solutions was asked...,Tell me about yourself?,7-Jul-15
Senior Data Analyst at Akosha was asked...,Why do you want to join a startup?,18-Sep-15
Data Analyst at Axtria was asked...,About the project done during the internship,30-Apr-16
Data Analyst at ABCO Advisory Services India was asked...,They gave a form to fill which contains all the technologies where we should score ourselves from 1-10. You can expect the questions based on these ratings,21-Aug-16
Data Analyst at FieldGlobal Market Research was asked...,Tell me something about yourself,2-Sep-16
Data Analyst at Binary Semantics was asked...,About yourself and academics. Your skills.,12-Jul-16
Data Analyst at The Smart Cube was asked...,"How would you sort an array? Advantages of one sorting algorithm over other, guesstimates",12-Feb-17
Data Analyst at The Smart Cube was asked...,"if you are given a million bucks, in which business field will you venture into.",10-May-13
Data Analyst at eClerx was asked...,all easy questions,15-Nov-13
Data Analyst at Coalition Development was asked...,"Basic Question about your CV, Why you want to join this company, Trade Cycle",20-May-15
Data Analyst at Axtria was asked...,"Write a code in C++ which receives a string and shifts all the vowels present in it, to the beginning.",28-Sep-15
Data Analyst at DataMetica was asked...,"Sorting Algorithms, Basic electronics, Project based Questions, SQL.",14-Oct-15
Junior Data Analyst at Annik Technology Services was asked...,About academics Technical skills Hobbies Personal Interests,9-Mar-16
Data Analyst at Annik Technology Services was asked...,Different Types of Joins In SQL and vlookup in Excel and some Puzzled Questions,9-Aug-16
Data Analyst at Voonik was asked...,Technical,29-Jul-16
Junior Data Analyst-sql at Advisory Board was asked...,10 Basic MCQ Questions,19-Sep-16
Data Analyst at Google was asked...,all the questions were related to my technical field,8-Mar-17
Data Analyst at Trivium Education Services was asked...,Have to appear excel test,16-Oct-19
Data Analyst at Myntra was asked...,To estimate the number of Ola/Uber cabs in Lucknow & a case related to the e-commerce sector,10-Dec-19
Data Analyst at Nestaway Technologies was asked...,puzzel on coins,30-Apr-20
Data Analyst at InfoCepts was asked...,tell me about yourself,17-Aug-18
Data Analyst at Noesys Software was asked...,Vlookup,17-Sep-18
Data Analyst at Sandcube Analytics was asked...,"easy quant, verbal. just a communication interview. but don't join the company",23-Oct-18
Data Analyst at Ftcash was asked...,Tell me about yourself,8-Jan-19
Data Analyst at Sandcube Analytics was asked...,tell me about your self?,26-Jan-19
Research Data Analyst at S&P Global Market Intelligence was asked...,Mostly on your CV,20-Jan-19
Data Analyst at Systech (CA) was asked...,More about sql,7-May-19
Financial Data Analyst at William O'Neil & Co was asked...,Most of the questions being asked was on capital markets and financial statements.,12-Jun-19
Data Analyst at MaxVal Group was asked...,About patents,3-Jul-19
Data Analyst at Indegene was asked...,Name 5 statistical tests that you have used to most.,5-Nov-19
Big Data Analyst at Cogneau was asked...,Number of palindromic substrings in a given string,26-Sep-18
Research Data Analyst at Machwan Communication & Research was asked...,What's the difference between a brand and a company ?,30-Nov-18
Research Data Analyst at S&P Global Market Intelligence was asked...,Academic Questions,20-Mar-19
Data Analyst at Flipkart was asked...,"Some small tasks which includes using VLOOKUP, SUMIFS, COUNTIFS, INDEX MATCH, IFERROR Functions. Basic questions in R like what are the pakages used in R. SQL queries based on business requirement. Using JOINS, Identity properties, all analytical functions, etc....",10-Apr-19
Data Analyst at Everest Consulting Group was asked...,in case round i was asked to determine the market size of the tyre industry in india.,21-Jan-19
Data Analyst at Dover India was asked...,About the overall experience,12-Mar-19
Data Analyst at WNS was asked...,Asked mainly from your resume,15-Aug-19
Data Analyst at Sixth Sense IT Solutions was asked...,How to detect multicollinearity? Explain the econometric projects that you have done so far.,28-Aug-19
Data Analyst at Kotak Mahindra was asked...,"Basic SQL based questions- Joins, unions Writing SQL queries based on questions asked Basic R questions, libraries like dplyr,tidyr Small usecase related to banking",23-Jul-19
Data Analyst at RDM India was asked...,How do you keep yourself updated about whats happening around?,19-Oct-19
Data Analyst at Myntra was asked...,To estimate the number of Ola/Uber cabs in Lucknow & a case related to the e-commerce sector,10-Dec-19
Data Analyst at Orsuq Solutions was asked...,tell me about yourself,7-May-20
Staff Data Analyst at SmartDrive Systems was asked...,Can’t add the questions here,31-May-20
Data Analyst at CLRI was asked...,Which college are you from?,9-Jul-19
Data Analyst at Khoros was asked...,How do you prioritise projects and did you ever say no to any project?,23-Jun-20
Data Analyst at Applied Data Finance was asked...,"Given a string, rearrange the string to a palindrome and return the palindrome if present else return -1",2-Feb-19
Data Analyst at Reliance Industries was asked...,Asked me about my projects undertaken; also asked me about the different web systems that i have acquired knowledge of.,24-Mar-19
Junior Data Analyst at Travelex was asked...,Tell me about your final year project,31-Jul-18
Data Analyst at Danske Bank was asked...,Most are of Technical question and competency based.,13-Jun-19
Junior Data Analyst at Paragon Digital Services was asked...,What is Paragon Digital Media?,16-Apr-18
Junior Data Analyst at Paragon Digital Services was asked...,Tell me about you self?,16-Apr-18
Junior Data Analyst at Cyient was asked...,Tell me about yourself tell about your academic project,13-Jun-18
Data Analyst at Goldman Sachs was asked...,Competency based questions and some technical questions,18-Nov-18
Data Analyst at Tech Mahindra was asked...,"Vlookup,macros,sql",25-Oct-18
Data Analyst at Proziod was asked...,will able to work on night shifts?,28-Sep-18
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,SQL joints,27-Oct-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,"SQL select, create, drop, Join statements",27-Oct-19
Associate Data Analyst at Atos was asked...,Why Atos? What do you know about Atos and the services we offer?,22-Nov-18
Data Analyst at Decision Point was asked...,"Given 3 tables - Product, Store, Sales Try to print top 5 stores with different product category having least quantity sold",29-May-20
Data Analyst at Risk Management Solutions was asked...,technical,19-Dec-17
Data Analyst at Media.net was asked...,What will you look for if there is a sudden decrease in number of clicks,8-Mar-19
Data Analyst at Media.net was asked...,Sql queries based on scenarios and advanced excel,8-Mar-19
Data Analyst at vPhrase was asked...,"The questions were revolved heavily around my final year project. Then questions relating to Pandas were asked and finally language specific questions. After the technical questionnaire, the interviewer asked a couple of brain teasers.",26-Oct-17
Senior Financial Data Analyst at Moody's Analytics was asked...,what is beta .what are the financial ratio and much more accounting questions,6-Mar-17
Junior Data Analyst at Entytle was asked...,types of indexes,26-May-19
Data Analyst at EXL Service was asked...,"Algorithms, puzzles and OOPS concepts",20-Mar-17
Data Analyst at Nine A Business Connect was asked...,"core statistics , all basics, p-value, normal distribution, models, regression",16-Aug-18
Data Analyst at Efftronics Systems was asked...,Questions on sql ddl commands,29-Jan-20
Data Analyst at EXL Service was asked...,Puzzles. The candle problem counting 1.5 hrs.,3-Dec-15
Data Analyst at Decision Resources Group was asked...,Puzzle,4-May-18
Digital Marketing Manager and Data Analyst at Multiplier Solutions was asked...,Differentiate work and job,5-Jan-19
Data Analyst at GyanMatrix Technologies was asked...,Based on your resume,22-Apr-19
Data Analyst at TresVista was asked...,Tell me something about yourself and your resume. Some sql queries. XGboost basics Puzzle Programming questions and optimisation,19-Feb-19
Data Analyst at Subex was asked...,"Analytics, Feature engineering, Python and SQl queries",30-Aug-19
Data Analyst at IDEMIA was asked...,How to manage a team,20-Jun-19
Data Analyst at The Federal Bank was asked...,analytical skills,21-Apr-20
Lead/Data Analyst Manager at Gramener was asked...,Explain a complete project from end to end and what all steps are involved to complete the project,17-Jan-19
Lead/Data Analyst Manager at Gramener was asked...,What is odds ratio,17-Jan-19
Lead/Data Analyst Manager at Gramener was asked...,What are the algorithms used in decision trees,17-Jan-19
Lead/Data Analyst Manager at Gramener was asked...,What is sigmoid function in logistic regression,17-Jan-19
Data Analyst at Mu Sigma was asked...,are u interested to this job profile?,29-Sep-17
Data Analyst at Mu Sigma was asked...,Interview was normal,17-Jul-14
Data Analyst at Mu Sigma was asked...,"Personal interview was hectic?/they ask u in depth about ua fiels.Especially if ua marks are good,ua gone.",11-Aug-14
Data Analyst at Volvo Group was asked...,Joins subqueries,10-Jul-18
Data Analyst at BRIDGEi2i was asked...,Puzzles,4-Jun-18
Data Analyst at BRIDGEi2i was asked...,Walk me through your resume,11-Sep-18
Data Analyst at BRIDGEi2i was asked...,1. Micro-screening of resume 2. Questions based on my areas of interest 3. Puzzles(Bulb-switch puzzle) 4. Statistics 5. Programming (if CSE),22-Aug-17
Big Data Analyst at BRIDGEi2i was asked...,Do you want to study further?,27-Aug-18
Data Analyst at BNY Mellon was asked...,It totally depend on the job profile and the manager interviewing.,17-Mar-14
Data Analyst at WM Logistics was asked...,What is Bank reconciliation statement?,24-Aug-19
Data Analyst at LatentView Analytics was asked...,puzzles,8-Sep-14
Data Analyst at LatentView Analytics was asked...,SQL related questions. Aptitude check,7-Oct-17
Data Analyst at Actiknow was asked...,"Being fresher, not much technical, little about excel and summer training project, interview was cool, nothing much to worry about.",26-Jan-19
Data Analyst at LatentView Analytics was asked...,"questions based on calenders,data interpretation,profit and loss",26-Jul-17
Data Analyst at Genpact was asked...,Describe what you did in your internship,31-May-19
Data Analyst at Genpact was asked...,Who discovered github,12-Oct-19
Data Analyst at LatentView Analytics was asked...,basic puzzle questions,24-Aug-19
Data Analyst at LatentView Analytics was asked...,What is the name of the function for a linear model in R?,21-Oct-19
Data Analyst at Kotak Mahindra Old Mutual Life Insurance was asked...,What is regression?,15-Apr-18
Data Analyst at Newpark Drilling Fluids was asked...,you know about this company?,21-Sep-18
Data Analyst at Axis Bank was asked...,The interview mainly comprised of questions on my internship project.,6-Jan-18
Data Analyst at Axis Bank was asked...,Why should I select you?,1-Oct-16
Data Analyst at Ebizon Net Info was asked...,Basic about SQL. write a program to count the frequency of 2 from 1-100. Sorting Program,31-Jul-17
Data Analyst at iOPEX Technologies was asked...,Some were Excel based while others were based on my previous experience.,25-Oct-16
Data Analyst at Newpark Drilling Fluids was asked...,you know about this company?,21-Sep-18
Data Analyst at Newpark Drilling Fluids was asked...,about your self?,21-Sep-18
Data Analyst at Wipro was asked...,what is artificial intelligence and tell us everything you know about it.,23-Jun-18
Data Analyst at Directi was asked...,"1) SQL questions based on joins and sub queries 2) Business case studies focused on product, sales and marketing and business development",14-Mar-19
Big Data Analyst at Nokia was asked...,1) Rate yourself in programming on the basis of 0-10. 2) OOPS Concepts 3) Difference between Method overloading and Overriding with code 4) Hadoop operations 5) Project related questions,23-Feb-18
Junior Data Analyst at Cognizant Technology Solutions was asked...,"General PV question, one should go through GVP module VI, reg bodies, ICSR timelies",4-Oct-15
Programmer Data Analyst at Snapdeal was asked...,Write SQL queries. Probality questions were aksed Questions were bit tricky yest easy,14-Apr-16
